,weighting,model_type,own_recommender_type,user_item_matrix_values,own_recall,rec_recall,itm_recall,usr_recall
0,bm25,als,item-item,binary,0.012341595320333994,0.004037545286786343,0.008778112821289829,0.0005346766439651274
1,bm25,als,cosine,binary,0.020143809918907803,0.004099502320859933,0.009258516744221557,0.0010712869144436994
2,bm25,als,tfidf,binary,0.02014672428257427,0.004238156584594703,0.008861996939478482,0.001005704601465688
3,bm25,bpr,item-item,binary,0.012341595320333994,0.0037961677168802358,0.005610723409305699,0.0002516977485037491
4,bm25,bpr,cosine,binary,0.020143809918907803,0.0045257035586793795,0.0055106444542070395,0.0005380006136911661
5,bm25,bpr,tfidf,binary,0.02014672428257427,0.0045164516136141,0.005571209752562349,0.0005910249340171303
6,tfidf,als,item-item,binary,0.016299791397288273,0.015214318625761836,0.00845810483552205,0.007362448629710904
7,tfidf,als,cosine,binary,0.021332483685244683,0.014740693646507373,0.00888476550717734,0.005010779044185825
8,tfidf,als,tfidf,binary,0.02122005724264742,0.014676659753534644,0.008924386748704079,0.004754748941962964
9,tfidf,bpr,item-item,binary,0.016299791397288273,0.005098339292200713,0.0056616531375862835,0.005584000477716903
10,tfidf,bpr,cosine,binary,0.021332483685244683,0.005652131207451637,0.005526630485081758,0.003783196059439187
11,tfidf,bpr,tfidf,binary,0.02122005724264742,0.00565394639375281,0.00553822065015757,0.0031346212271923884
12,bm25,als,item-item,sales_value,0.014593805707076057,0.003061039601797029,0.008331460905108268,0.0005319101793161509
13,bm25,als,cosine,sales_value,0.01979213636056327,0.002981386854369321,0.008393906815715564,0.0011732752039687049
14,bm25,als,tfidf,sales_value,0.019787286281552036,0.003091171475658863,0.008112092299935222,0.0011177010400873924
15,bm25,bpr,item-item,sales_value,0.014593805707076057,0.005792812207939172,0.005648780145959312,0.00023909607827305715
16,bm25,bpr,cosine,sales_value,0.01979213636056327,0.004994212739414587,0.005543268523504467,0.0006798487318174425
17,bm25,bpr,tfidf,sales_value,0.019787286281552036,0.005020349721261316,0.0055996918080144075,0.0005957382438235959
18,tfidf,als,item-item,sales_value,0.020908089177213464,0.013917172330588602,0.008412635184552469,0.006987831357266651
19,tfidf,als,cosine,sales_value,0.020597472152559096,0.013920843327938784,0.008089069712743476,0.003686828685421153
20,tfidf,als,tfidf,sales_value,0.020640504406300893,0.01432404417945785,0.008114754556498,0.003475802180198167
21,tfidf,bpr,item-item,sales_value,0.020908089177213464,0.004450334131979277,0.005594308782054929,0.0053546255476026195
22,tfidf,bpr,cosine,sales_value,0.020597472152559096,0.005282754701157436,0.005557466556111903,0.0021739225101446054
23,tfidf,bpr,tfidf,sales_value,0.020640504406300893,0.004295268341691922,0.005547191811369045,0.0019429720511901065
24,bm25,als,item-item,purchase_sum,0.013001138374000708,0.0054510712124185914,0.008757913369265612,0.0006562621719053357
25,bm25,als,cosine,purchase_sum,0.019805816467853853,0.00574352084260064,0.008880128269155926,0.0012898240845048562
26,bm25,als,tfidf,purchase_sum,0.019803981389973146,0.00590449769683312,0.008596818024481208,0.0012058187005477429
27,bm25,bpr,item-item,purchase_sum,0.013001138374000708,0.004778077719104082,0.005627415561155009,0.00021452125766255073
28,bm25,bpr,cosine,purchase_sum,0.019805816467853853,0.005383897186393727,0.005713414956996769,0.000674322306915135
29,bm25,bpr,tfidf,purchase_sum,0.019803981389973146,0.006046132385255815,0.005659983856712493,0.0006914440419995926
30,tfidf,als,item-item,purchase_sum,0.017493851052148596,0.012911316458216138,0.008342339602459385,0.006008955429273353
31,tfidf,als,cosine,purchase_sum,0.02022714428537157,0.013971525114841215,0.00858155582398225,0.0026109182212021103
32,tfidf,als,tfidf,purchase_sum,0.020216169438104847,0.013633053332677838,0.008596401755634791,0.0027806832120862066
33,tfidf,bpr,item-item,purchase_sum,0.017493851052148596,0.0048941312291270345,0.0054917225680112015,0.004560223157362027
34,tfidf,bpr,cosine,purchase_sum,0.02022714428537157,0.005384603564888362,0.005593169138074999,0.0015741604632636597
35,tfidf,bpr,tfidf,purchase_sum,0.020216169438104847,0.005380160519615934,0.005537996730233671,0.0013279076671740193
